platform,record_a,record_b,match_type,breakdown
mo,MO:165727,MO:171910,similar,06
mo,MO:165727,MO:188638,similar,06
mo,MO:171910,MO:188638,similar,06
mo,MO:166830,MO:167151,similar,06
mo,MO:166830,MO:449426,similar,06
mo,MO:167151,MO:449426,similar,06
mo,MO:171612,MO:171613,similar,06
mo,MO:171758,MO:171759,strict,06
mo,MO:173690,MO:173820,similar,06
mo,MO:173831,MO:174324,similar,06
mo,MO:189451,MO:190359,similar,06
mo,MO:203304,MO:204754,similar,06
mo,MO:203304,MO:216280,similar,06
mo,MO:204754,MO:216280,similar,06
mo,MO:203708,MO:224187,similar,06
mo,MO:204325,MO:205766,similar,06
mo,MO:209964,MO:210415,similar,06
mo,MO:209964,MO:210419,similar,06
mo,MO:210415,MO:210419,similar,06
mo,MO:210121,MO:210193,similar,06
mo,MO:210355,MO:210509,similar,06
mo,MO:210361,MO:210452,similar,06
mo,MO:210467,MO:210512,similar,06
mo,MO:210467,MO:210516,similar,06
mo,MO:210512,MO:210516,similar,06
mo,MO:211762,MO:211763,strict,06
mo,MO:224987,MO:225735,similar,06
mo,MO:235518,MO:236481,similar,06
mo,MO:235590,MO:258706,similar,06
mo,MO:235590,MO:258912,similar,06
mo,MO:258706,MO:258912,similar,06
mo,MO:261549,MO:265133,similar,06
mo,MO:282620,MO:282758,similar,06
mo,MO:295528,MO:295529,strict,06
mo,MO:306912,MO:346455,similar,06
mo,MO:306912,MO:346459,similar,06
mo,MO:346455,MO:346459,similar,06
mo,MO:308806,MO:326231,similar,06
mo,MO:308806,MO:329633,similar,06
mo,MO:326231,MO:329633,similar,06
mo,MO:314351,MO:315951,similar,06
mo,MO:314351,MO:320135,similar,06
mo,MO:315951,MO:320135,similar,06
mo,MO:319724,MO:320134,similar,06
mo,MO:320190,MO:344545,similar,06
mo,MO:320190,MO:344958,similar,06
mo,MO:344545,MO:344958,similar,06
mo,MO:332079,MO:457180,similar,06
mo,MO:336726,MO:340640,similar,06
mo,MO:340820,MO:352868,similar,06
mo,MO:343965,MO:347649,similar,06
mo,MO:343965,MO:347650,similar,06
mo,MO:347649,MO:347650,similar,06
mo,MO:346456,MO:347646,similar,06
mo,MO:346456,MO:348429,similar,06
mo,MO:346456,MO:350348,similar,06
mo,MO:346456,MO:351362,similar,06
mo,MO:346456,MO:351368,similar,06
mo,MO:346456,MO:353894,similar,06
mo,MO:347646,MO:348429,similar,06
mo,MO:347646,MO:350348,similar,06
mo,MO:347646,MO:351362,similar,06
mo,MO:347646,MO:351368,similar,06
mo,MO:347646,MO:353894,similar,06
mo,MO:348429,MO:350348,similar,06
mo,MO:348429,MO:351362,similar,06
mo,MO:348429,MO:351368,similar,06
mo,MO:348429,MO:353894,similar,06
mo,MO:350348,MO:351362,similar,06
mo,MO:350348,MO:351368,similar,06
mo,MO:350348,MO:353894,similar,06
mo,MO:351362,MO:351368,similar,06
mo,MO:351362,MO:353894,similar,06
mo,MO:351368,MO:353894,similar,06
mo,MO:355965,MO:358943,similar,06
mo,MO:355965,MO:392477,similar,06
mo,MO:355965,MO:393119,similar,06
mo,MO:355965,MO:411777,similar,06
mo,MO:358943,MO:392477,similar,06
mo,MO:358943,MO:393119,similar,06
mo,MO:358943,MO:411777,similar,06
mo,MO:392477,MO:393119,similar,06
mo,MO:392477,MO:411777,similar,06
mo,MO:393119,MO:411777,similar,06
mo,MO:358927,MO:393112,similar,06
mo,MO:358941,MO:367797,similar,06
mo,MO:358941,MO:396789,similar,06
mo,MO:358941,MO:400163,similar,06
mo,MO:367797,MO:396789,similar,06
mo,MO:367797,MO:400163,similar,06
mo,MO:396789,MO:400163,similar,06
mo,MO:364846,MO:364847,strict,06
mo,MO:364846,MO:364850,strict,06
mo,MO:364847,MO:364850,strict,06
mo,MO:365792,MO:367796,similar,06
mo,MO:367800,MO:387993,similar,06
mo,MO:368536,MO:387923,similar,06
mo,MO:378224,MO:383390,similar,06
mo,MO:378426,MO:412756,similar,06
mo,MO:387898,MO:387992,strict,06
mo,MO:387898,MO:387995,strict,06
mo,MO:387898,MO:388009,strict,06
mo,MO:387898,MO:388012,strict,06
mo,MO:387992,MO:387995,strict,06
mo,MO:387992,MO:388009,strict,06
mo,MO:387992,MO:388012,strict,06
mo,MO:387995,MO:388009,strict,06
mo,MO:387995,MO:388012,strict,06
mo,MO:388009,MO:388012,strict,06
mo,MO:387988,MO:412114,similar,06
mo,MO:388005,MO:413171,similar,06
mo,MO:388066,MO:388077,strict,06
mo,MO:388066,MO:388080,strict,06
mo,MO:388066,MO:388083,strict,06
mo,MO:388066,MO:388090,strict,06
mo,MO:388066,MO:388113,strict,06
mo,MO:388066,MO:388116,strict,06
mo,MO:388077,MO:388080,strict,06
mo,MO:388077,MO:388083,strict,06
mo,MO:388077,MO:388090,strict,06
mo,MO:388077,MO:388113,strict,06
mo,MO:388077,MO:388116,strict,06
mo,MO:388080,MO:388083,strict,06
mo,MO:388080,MO:388090,strict,06
mo,MO:388080,MO:388113,strict,06
mo,MO:388080,MO:388116,strict,06
mo,MO:388083,MO:388090,strict,06
mo,MO:388083,MO:388113,strict,06
mo,MO:388083,MO:388116,strict,06
mo,MO:388090,MO:388113,strict,06
mo,MO:388090,MO:388116,strict,06
mo,MO:388113,MO:388116,strict,06
mo,MO:388084,MO:391803,similar,06
mo,MO:389265,MO:394280,similar,06
mo,MO:389267,MO:391801,similar,06
mo,MO:389267,MO:391814,similar,06
mo,MO:389267,MO:392252,similar,06
mo,MO:389267,MO:393000,similar,06
mo,MO:389267,MO:393109,similar,06
mo,MO:389267,MO:394285,similar,06
mo,MO:391801,MO:391814,similar,06
mo,MO:391801,MO:392252,similar,06
mo,MO:391801,MO:393000,similar,06
mo,MO:391801,MO:393109,similar,06
mo,MO:391801,MO:394285,similar,06
mo,MO:391814,MO:392252,similar,06
mo,MO:391814,MO:393000,similar,06
mo,MO:391814,MO:393109,similar,06
mo,MO:391814,MO:394285,similar,06
mo,MO:392252,MO:393000,similar,06
mo,MO:392252,MO:393109,similar,06
